# USDT/VES Historical Rate Dataset
# Source: usdt.com.ve
# License: CC-BY-4.0 (https://creativecommons.org/licenses/by/4.0/)
# Generated: 2026-08-28T17:01:23.683Z
# Citation: usdt.com.ve, "USDT/VES Historical Rate Dataset", retrieved 2026-08-28, https://www.usdt.com.ve/datos
# Columns: captured_at (ISO 8601 UTC), source (binance|bybit|bcv), buy_rate (Bs. per USD/USDT), sell_rate (Bs., null for BCV)
captured_at,source,buy_rate,sell_rate
2026-01-18T03:55:31.22189+00:00,bcv,344.51,
2026-01-18T04:00:31.306781+00:00,bcv,344.51,
2026-01-18T04:00:31.306781+00:00,bybit,454,446.5
2026-01-18T04:00:31.306781+00:00,binance,452.9985,450.75
2026-01-18T04:05:30.898781+00:00,bcv,344.51,
2026-01-18T04:05:30.898781+00:00,bybit,454,446.2775
2026-01-18T04:05:30.898781+00:00,binance,452.999,450.2055
2026-01-18T04:10:31.064568+00:00,bcv,344.51,
2026-01-18T04:10:31.064568+00:00,binance,452.999,450.23
2026-01-18T04:10:31.064568+00:00,bybit,454,446.2775
2026-01-18T04:15:31.025281+00:00,binance,453,450.23
2026-01-18T04:15:31.025281+00:00,bcv,344.51,
2026-01-18T04:15:31.025281+00:00,bybit,454,446.2775
2026-01-18T04:20:31.007832+00:00,binance,452.9995,450.231
2026-01-18T04:20:31.007832+00:00,bcv,344.51,
2026-01-18T04:20:31.007832+00:00,bybit,454,447.05
2026-01-18T04:25:30.947945+00:00,bcv,344.51,
2026-01-18T04:25:30.947945+00:00,bybit,454,447.05
2026-01-18T04:25:30.947945+00:00,binance,453.1475,450.157
2026-01-18T04:30:31.149282+00:00,binance,453.1475,450.231
2026-01-18T04:30:31.149282+00:00,bcv,344.51,
2026-01-18T04:30:31.149282+00:00,bybit,453.75,447.05
2026-01-18T04:35:30.934346+00:00,binance,453.1475,450.1505
2026-01-18T04:35:30.934346+00:00,bybit,453.75,447.05
2026-01-18T04:35:30.934346+00:00,bcv,344.51,
2026-01-18T04:40:30.86861+00:00,bcv,344.51,
2026-01-18T04:40:30.86861+00:00,bybit,453.75,447.05
2026-01-18T04:40:30.86861+00:00,binance,452.9995,450.1
2026-01-18T04:45:31.232076+00:00,bybit,454,446.2775
2026-01-18T04:45:31.232076+00:00,binance,452.9995,450.05
2026-01-18T04:45:31.232076+00:00,bcv,344.51,
2026-01-18T04:50:30.891038+00:00,binance,453.1475,450.2005
2026-01-18T04:50:30.891038+00:00,bcv,344.51,
2026-01-18T04:50:30.891038+00:00,bybit,454.1995,444.1775
2026-01-18T04:55:30.872461+00:00,bcv,344.51,
2026-01-18T04:55:30.872461+00:00,bybit,454.1995,442.844
2026-01-18T04:55:30.872461+00:00,binance,453,450.2
2026-01-18T05:00:30.851875+00:00,binance,452.9945,450.25
2026-01-18T05:00:30.851875+00:00,bybit,454.2,442.844
